Timestamp,EMG1,EMG2,EMG3,EMG4
2026-09-21 21:44:33.211140352,6.776571837008305e-08,-2.8037879019393586e-05,-8.548820915166289e-06,-1.0929329619102646e-06
2026-09-21 21:44:33.212140288,-6.548596616084978e-07,-2.940283957286738e-05,-7.605216865158582e-07,-2.0972352388071158e-07
2026-09-21 21:44:33.213140480,-5.231489467405481e-06,-2.289920848852489e-05,9.115363354794681e-06,-5.830145710206125e-06
2026-09-21 21:44:33.214140416,-1.422416517016245e-05,-1.9446662918198854e-05,1.2969367162440903e-05,-7.998022738320287e-06
2026-09-21 21:44:33.215140608,-1.5508832802879624e-05,-7.724067472736351e-06,4.779608843819005e-06,-4.706061190518085e-06
2026-09-21 21:44:33.216140544,-1.4384748283191584e-05,6.423206855288299e-08,5.823401352245128e-06,-1.7352670056425268e-06
2026-09-21 21:44:33.217140480,-1.0530744475545362e-05,7.12990640749922e-06,-2.9283987714734394e-06,-1.6549749943806091e-06
2026-09-21 21:44:33.218140672,-9.48695196711924e-06,5.764946763520129e-06,3.6555243241309654e-06,-2.1367256977100624e-06
2026-09-21 21:44:33.219140608,-8.523451469955035e-06,4.480278221308254e-06,2.5314398044429254e-06,1.3158196452422999e-06
2026-09-21 21:44:33.220140544,-7.640242074558046e-06,3.3561937016202137e-06,1.487647296016803e-06,-2.6987679575540824e-06
2026-09-21 21:44:33.221140736,-4.1398453731744667e-07,4.399987119541038e-06,-9.191155186272226e-06,2.1990288132656133e-06
2026-09-21 21:44:33.222140672,-3.30448756358237e-06,-2.3445199985872023e-06,-7.826195542293135e-06,2.8413628569978755e-06
2026-09-21 21:44:33.223140608,8.177233212336432e-06,3.0510719284393417e-07,1.2467721717257518e-06,-1.2943173999246937e-07
2026-09-21 21:44:33.224140800,1.2834154404117726e-05,5.9255298765492626e-06,1.4173743693390861e-05,-6.111824291110679e-07
2026-09-21 21:44:33.225140736,3.419175845920108e-05,-2.103644874296151e-06,-1.4028555597178638e-06,-2.0564336864481447e-06
2026-09-21 21:44:33.226140928,3.1140669307205826e-05,-3.1474373827222735e-06,-1.1840783372463193e-05,-3.341101773912669e-06
2026-09-21 21:44:33.227140864,2.841075365722645e-05,1.670066808401316e-06,-6.220360774022993e-06,-1.3338080862013157e-06
2026-09-21 21:44:33.228140800,2.592171040305402e-05,-4.5123974814487156e-06,2.370856691413792e-06,-5.3483954616240226e-06
2026-09-21 21:44:33.229140992,1.4439989172387868e-05,-1.6556159607716836e-05,-2.2860649551148526e-06,5.931938744652143e-07
2026-09-21 21:44:33.230140928,-1.7310939881554077e-07,-1.8242286387248896e-05,7.5898201430391055e-06,-2.0972352388071158e-07
2026-09-21 21:44:33.231140864,5.447312560136197e-06,-1.3585365195467602e-05,1.1443824405432679e-05,6.37419998383848e-06
2026-09-21 21:44:33.232141056,3.0864129030305776e-07,-7.386853440038976e-07,-1.4831475709797814e-06,3.724572025021189e-06
2026-09-21 21:44:33.233140992,8.096941201074515e-06,7.852531780372374e-06,7.108069894457003e-06,4.5274896365299355e-06
2026-09-21 21:44:33.234140928,1.0312667200196302e-06,1.2509453881648369e-05,2.4511477931810077e-06,2.3596123810420977e-06
2026-09-21 21:44:33.235141120,4.885270300292177e-06,8.334282028954476e-06,-4.6145255510054994e-06,3.00194642477436e-06
2026-09-21 21:44:33.236141056,-3.30448756358237e-06,7.0496143962373026e-06,-8.468529813399073e-06,1.2355278613540577e-06
2026-09-21 21:44:33.237141248,-8.60374257172225e-06,3.5970697354059666e-06,-2.6072320906678215e-06,4.928948328597471e-06
2026-09-21 21:44:33.238141184,-1.5348250599345192e-05,-1.7021862959154532e-06,-1.5634391274943482e-06,2.43990416493034e-06
2026-09-21 21:44:33.239141120,-2.6829970011021942e-05,3.1153185773291625e-06,-2.526940079405904e-06,-4.2243109419359826e-06
2026-09-21 21:44:33.240141312,-2.5304425435024314e-05,3.998527972726151e-06,-3.4101494748028927e-06,-5.187811893847538e-06
2026-09-21 21:44:33.241141248,-2.3939466700539924e-05,4.8014453568612225e-06,-4.213066858937964e-06,-7.717657695138769e-07
2026-09-21 21:44:33.242141184,-2.0085462892893702e-05,-4.6729810492252e-06,-5.999385734867246e-07,-3.1805182061361847e-06
2026-09-21 21:44:33.243141376,-1.6632917322567664e-05,-8.526984856871422e-06,1.3270632734929677e-06,-1.0126411780220224e-06
2026-09-21 21:44:33.244141312,-9.246076842828188e-06,-1.197953042719746e-05,5.502234216692159e-06,-4.304602498450549e-06
2026-09-21 21:44:33.245141248,-2.5015699520736234e-06,-8.848151992424391e-06,9.195655366056599e-06,-2.538184389777598e-06
2026-09-21 21:44:33.246141440,3.6808949062105967e-06,-1.559265911055263e-05,7.750404620310292e-06,-2.0564336864481447e-06
2026-09-21 21:44:33.247141376,6.089646831242135e-06,-1.647586759645492e-05,1.0861881492019165e-06,-2.538184389777598e-06
2026-09-21 21:44:33.248141312,-3.384779120096937e-06,-1.567295112181455e-05,-3.7313166103558615e-06,-2.1367256977100624e-06
2026-09-21 21:44:33.249141504,-9.888411113934126e-06,-1.0614569873723667e-05,-1.1680199349939357e-05,3.9654473766859155e-06
2026-09-21 21:44:33.250141440,-6.435865543608088e-06,-3.3883129617606755e-06,-4.2933588701998815e-06,3.0822379812889267e-06
2026-09-21 21:44:33.251141632,-7.479658506781561e-06,-2.42481200984912e-06,2.4511477931810077e-06,3.885155365423998e-06
