Timestamp,EMG1,EMG2,EMG3,EMG4
2026-09-21 21:53:11.190221056,-8.443453793915978e-07,-5.5569274991285056e-05,3.175059646309819e-06,-3.998528882220853e-06
2026-09-21 21:53:11.191220992,5.65928667128901e-06,-5.147439878783189e-05,5.9049789342680015e-06,6.583925369341159e-07
2026-09-21 21:53:11.192220672,6.78337119097705e-06,-3.292700421297923e-05,1.8510783775127493e-05,1.6315283573931083e-05
2026-09-21 21:53:11.193220608,1.208262619911693e-05,-9.321230209025089e-06,-2.204487373091979e-06,-1.0903619113378227e-05
2026-09-21 21:53:11.194220544,2.0834426322835498e-05,1.2116665857320186e-05,6.065562956791837e-06,-1.4597039807995316e-05
2026-09-21 21:53:11.195220224,1.9710341803147458e-05,1.4846586964267772e-05,8.554606210964266e-06,-4.480279585550306e-06
2026-09-21 21:53:11.196220160,2.500959817552939e-05,2.745238998613786e-05,1.216773580381414e-05,-1.4291929346654797e-06
2026-09-21 21:53:11.197220096,2.2119094865047373e-05,2.520422094676178e-05,6.547313205373939e-06,1.246127976628486e-05
2026-09-21 21:53:11.198220032,8.870955753081944e-06,1.4766294953005854e-05,-9.029286047734786e-06,-1.4452508878548542e-07
2026-09-21 21:53:11.199219712,-4.3771819946414325e-06,2.801443224598188e-05,-2.3642383894184604e-05,2.1036439648014493e-06
2026-09-21 21:53:11.200219648,4.214035016048001e-06,2.632830546644982e-05,-2.9262806492624804e-05,1.605848609642635e-08
2026-09-21 21:53:11.201219584,1.2002334187855013e-05,9.065580343303736e-06,-3.0948933272156864e-05,1.8627687268235604e-06
2026-09-21 21:53:11.202219520,1.063737363438122e-05,2.2407807591662277e-06,-1.055482880474301e-05,-3.2759030546003487e-06
2026-09-21 21:53:11.203219200,4.1337430047860835e-06,8.503538083459716e-06,3.3356427593389526e-06,-1.750359842844773e-06
2026-09-21 21:53:11.204219136,-1.120198066928424e-05,2.5605679184081964e-05,1.5941448509693146e-05,-3.1153194868238643e-06
2026-09-21 21:53:11.205219072,-9.114395652431995e-06,1.8780880054691806e-05,2.27662458200939e-05,-4.399987574288389e-06
